Location,Latitude,Longitude,Vegetation_Type,Biodiversity_Index,Protected_Area,Elevation_m,Slope_Degree,Soil_Type,Air_Quality_Index,Average_Temperature_C,Flood_Risk,Tourist_Attractions,Accessibility_Score,Tourist_Capacity_Limit,Climate_Risk_Score
Site 1064,26.71067128669335,-89.90592431840237,Mountain,0.7780577707436065,False,1177,40,Loam,80,14.570766911116856,Moderate,4,5,450,0.11489325884995652
Site 1065,26.854280091082806,-113.31639525604021,Wetland,0.7023277089523332,True,761,41,Clay,51,11.18586326920174,Low,8,4,279,0.1108417464402372
Site 1066,39.50329206355566,-74.42314406990866,Grassland,0.7145239969860578,False,682,9,Clay,12,29.61509737543318,High,8,2,371,0.9035384681248111
Site 1067,19.55108583073209,-95.9462063987304,Mountain,0.6133847766753833,True,2362,41,Sandy,33,21.66477447692897,Low,6,7,116,0.1346834935227033
Site 1068,14.418964525255786,-106.61681161060282,Forest,0.7279412942120514,True,2354,10,Loam,126,20.22580112009091,Moderate,5,5,147,0.39928934233468816
Site 1069,24.18488630563106,-122.52253049252066,Mountain,0.9766274278604171,False,1527,10,Loam,104,15.090378439750552,High,2,9,163,0.9316229336136261
Site 1070,21.48955966616327,-113.28083877174751,Grassland,0.9252264588918953,False,618,34,Loam,131,11.134827973233499,Moderate,5,7,465,0.7220373344337423
Site 1071,21.8523248182396,-63.550317977081136,Mountain,0.5726164345381719,False,3726,18,Loam,43,3.790285584254761,Low,5,9,969,0.6833430152775493
Site 1072,19.344310041996398,-108.64302192263314,Forest,0.5148903936604605,False,1543,23,Loam,125,21.35871704352844,High,2,5,62,0.6912984836400818
Site 1073,11.683727585454475,-118.17984974430753,Forest,0.9667621563583153,False,3677,0,Loam,142,-2.4156333445122113,Low,8,6,967,0.3858786809641872
Site 1074,10.714957389336552,-97.75290458415049,Forest,0.7633748749403738,True,1933,11,Loam,7,-8.538044002423234,High,5,8,708,0.577480231911323
Site 1075,49.50889558944126,-108.5038579647826,Wetland,0.7689189115746539,False,3168,46,Sandy,113,17.92688178112405,Moderate,5,6,998,0.6669757576421783
Site 1076,27.110925349434496,-127.5388524810164,Grassland,0.8903589978532611,False,3561,13,Sandy,4,-4.205932128850658,Moderate,1,4,271,0.3751437931224514
Site 1077,25.373065886387266,-107.3798347904408,Forest,0.6573444869356633,True,6,2,Rocky,85,26.15304331043724,Moderate,1,2,472,0.8158275242237135
Site 1078,37.1858913077228,-91.91239632423719,Wetland,0.7409537844180011,False,3857,44,Loam,72,20.827255478780575,Low,1,6,70,0.38957352288896496
Site 1079,18.730155514602565,-91.38013395860231,Forest,0.9843314565733687,False,3083,49,Loam,91,14.089775113092,Low,8,9,545,0.16429973815047752
Site 1080,47.99844735800902,-105.04087551761779,Mountain,0.8360743434662036,False,2561,31,Sandy,120,2.5569861469843502,Moderate,2,8,264,0.28130911640570233
Site 1081,41.453800576622086,-98.68880706231795,Grassland,0.5768725159978929,True,348,15,Sandy,45,15.517694363593613,Moderate,8,3,193,0.46756937657040787
Site 1082,13.57644009249038,-62.41374572356635,Mountain,0.5666133739921766,False,2964,37,Loam,115,9.07426759540023,High,6,5,539,0.917250299329752
Site 1083,26.703231031397134,-103.58560659387818,Wetland,0.6021323791665028,False,1030,9,Loam,112,1.6459387127865721,High,5,6,952,0.4741855226852474
Site 1084,45.164732302486584,-111.92412307180119,Mountain,0.8833558372103587,False,2547,16,Sandy,65,27.80315908387162,Low,6,7,389,0.1808234214166386
Site 1085,47.78928089165641,-112.9573069153268,Mountain,0.647688501920308,False,2522,48,Sandy,30,-3.524423385340296,High,4,2,161,0.27681108997094517
Site 1086,28.69606044999479,-97.95647711071061,Forest,0.5106944233375399,True,523,39,Rocky,50,20.13534997683508,Low,3,6,431,0.5900207376812882
Site 1087,34.53645556842831,-76.83358958981393,Mountain,0.9720871817528309,False,1875,3,Rocky,40,22.001542715673367,Low,4,2,127,0.2598904042330099
Site 1088,16.68135784368301,-115.58082710680688,Forest,0.5848567081974554,True,3128,14,Loam,50,28.07178432713315,High,9,8,715,0.15755915094484163
Site 1089,49.646745045479065,-80.34927110014624,Forest,0.5047790930740343,False,589,32,Sandy,146,11.97665719208635,High,8,7,135,0.7433456188404609
Site 1090,19.266868055337735,-128.51951236554086,Grassland,0.6185658011916615,False,3657,38,Rocky,94,11.395006440574626,High,8,2,410,0.8059126557659448
Site 1091,47.709270965405025,-100.67469154112378,Wetland,0.6175143935590668,False,2280,9,Loam,72,26.811568360493567,Moderate,1,4,533,0.8655699116893398
Site 1092,35.985865959694735,-75.68944543580491,Wetland,0.7110026254228615,True,2838,6,Rocky,130,22.043730373647563,Moderate,5,7,523,0.8595407452232188
Site 1093,34.309471795154366,-106.2886930957898,Wetland,0.9601949157500185,False,3101,32,Rocky,37,20.545459181816163,High,6,9,125,0.44133362205973825
Site 1094,30.507540440660343,-90.53840289882203,Forest,0.939592458889549,False,2414,16,Rocky,40,21.565482168452487,Moderate,9,3,930,0.7610229838831257
Site 1095,19.226792468710347,-115.65145370218625,Wetland,0.728447277491214,True,3897,11,Clay,128,9.727243658571474,Low,6,8,80,0.625184973535317
Site 1096,17.06112128022033,-78.06032262116794,Forest,0.7054499524959033,False,3678,16,Loam,53,-8.343255286758126,Moderate,1,9,409,0.1210278716499218
Site 1097,18.819448362807016,-126.34046277118682,Grassland,0.7775045432374257,False,1843,46,Rocky,85,-2.0694046536208344,Moderate,1,8,373,0.46143829873708
Site 1098,17.45753048577018,-70.32201485871497,Wetland,0.6217270059858828,False,55,15,Loam,12,15.71968350657147,Moderate,7,4,217,0.1475910633116189
Site 1099,41.18337894267013,-116.12625295048323,Forest,0.5260924959831814,False,2057,13,Loam,39,5.846636737170865,Low,3,4,332,0.1750204498962688
Site 1100,24.005010366669204,-68.79213778041685,Wetland,0.9696120680856033,True,1938,2,Sandy,20,14.270809935880123,Low,7,7,954,0.1504022024290413
Site 1101,12.313707062535855,-105.32295310896379,Wetland,0.5933494924385864,True,2194,43,Loam,28,12.067116109650371,High,5,4,910,0.9648518844687914
Site 1102,48.764105205632454,-79.41214978678593,Grassland,0.5992003646228582,True,363,49,Rocky,124,7.5464122222754035,Moderate,1,7,269,0.8597808917206903
Site 1103,45.35143539853703,-107.6542291549668,Mountain,0.7362301644269738,False,3670,29,Loam,31,-0.6108791407621528,Moderate,8,9,321,0.49519402975016213
Site 1104,47.11009132780852,-66.58618301357467,Wetland,0.7458066724201653,False,252,45,Sandy,10,18.758395631145405,Low,9,9,761,0.323197720988119
Site 1105,49.79631290585741,-121.13540121371379,Grassland,0.509217104850371,False,3770,40,Clay,35,26.361805190055833,Moderate,6,9,416,0.16520574657073925
Site 1106,16.95580996877949,-117.50361475091809,Wetland,0.5739773693869854,False,2987,34,Clay,92,20.798548758031586,Low,2,6,162,0.48807662634488
Site 1107,25.849680756106352,-95.48789123888383,Wetland,0.6890774092803709,True,3816,25,Sandy,111,-5.19847055511403,Moderate,9,1,574,0.6403175929518239
Site 1108,40.32953902816365,-124.26430926732976,Wetland,0.8418653467552695,False,1276,11,Rocky,141,11.517989539991255,High,2,8,621,0.8173929908005892
Site 1109,37.84082472215169,-116.28138707087666,Wetland,0.6142092284159679,True,1466,30,Rocky,116,23.41464729462328,Low,6,6,896,0.14640488755988015
Site 1110,16.155836253594202,-63.936353245159,Mountain,0.7115072231208813,False,735,16,Rocky,49,13.63927128414797,Low,4,7,749,0.476083015764999
Site 1111,42.63332499962471,-61.645723719647904,Mountain,0.7786725323582334,False,339,36,Loam,122,7.582766436541508,Low,6,2,954,0.9791717010701625
Site 1112,18.977622873466427,-103.66184694687047,Wetland,0.9442962473116461,True,3587,7,Clay,72,1.3818539921968345,Moderate,4,3,998,0.20864848187135607
Site 1113,18.952704592904922,-65.36997852902451,Wetland,0.6630352511635617,False,1376,18,Rocky,96,3.2156300234572033,High,3,6,937,0.46026945530730357
Site 1114,31.478976915736542,-91.86227270285977,Grassland,0.5667791329317418,True,623,25,Clay,86,-0.3137267960795853,Low,8,3,942,0.34754979125412566
Site 1115,33.71759739366813,-111.11802738883631,Grassland,0.7446361129488042,True,704,3,Sandy,96,-2.1709419478263436,High,5,5,413,0.22063541986567867
Site 1116,33.203448313512446,-80.8320895243581,Forest,0.873360800842031,False,3724,14,Clay,109,13.554605944753181,Low,1,4,337,0.8550511194168883
Site 1117,13.659473495910195,-83.87687353976,Mountain,0.5549298785263668,True,322,46,Rocky,109,10.375392144543273,High,8,5,104,0.7274036893095779
Site 1118,45.09843450521522,-60.76122766238866,Wetland,0.7123417458484802,True,1163,13,Clay,54,19.393323368315315,Moderate,3,8,292,0.47040083581157377
Site 1119,20.62400170354824,-111.44668988135017,Mountain,0.5088925706312417,False,2908,29,Sandy,93,2.3171814943283664,Moderate,4,4,202,0.4321605544684306
Site 1120,15.180596851312167,-82.95583481367852,Grassland,0.5167795908236256,True,1974,47,Clay,108,8.432963223031887,High,9,9,218,0.8449738835216203
Site 1121,45.54992319475909,-126.35833714793871,Mountain,0.7414766816083328,True,1468,41,Loam,128,17.21480876201074,High,3,3,843,0.18170546108656555
Site 1122,48.226059929190136,-122.04477729122964,Mountain,0.6490986490754647,False,2142,23,Sandy,14,28.52935140264708,Moderate,5,7,158,0.23214995240619354
Site 1123,44.48510469061802,-129.72571375342346,Wetland,0.922553649502706,True,552,45,Loam,19,3.9548160656197204,High,8,7,974,0.9158950072841843
Site 1124,42.38064298899512,-60.03775232582288,Wetland,0.8010771530632271,False,3491,42,Loam,143,1.92835478453501,High,6,1,945,0.835485988645656
Site 1125,36.20967922556087,-73.84084119967656,Grassland,0.7269664808714952,True,1537,33,Rocky,51,7.97153483697452,High,3,3,387,0.7973899863141101
Site 1126,32.034294824365574,-74.92938896865215,Wetland,0.7039676855271482,False,789,18,Rocky,86,18.954958538542144,Low,8,1,85,0.6615783318734337
Site 1127,13.479470396456406,-94.31917472982742,Grassland,0.7486227400947816,False,1173,2,Sandy,64,28.462011918680858,High,5,8,773,0.3632050464160482
Site 1128,26.338128522827947,-108.9953041966192,Grassland,0.5202194156063307,False,552,3,Rocky,110,11.461452932638242,Low,6,5,914,0.9413079447343763
Site 1129,24.90754068049256,-119.41150008761268,Forest,0.9463966782103299,False,3422,10,Clay,83,22.49760961586358,Moderate,3,4,389,0.5426819395612045
Site 1130,20.39015135041305,-110.07276828074754,Forest,0.9991515778669792,False,115,12,Sandy,110,8.575992232839734,Moderate,8,3,180,0.35255757804796195
Site 1131,38.936804547543396,-103.68201446496026,Forest,0.5907435624293493,True,631,49,Rocky,69,-8.405714852396532,Moderate,4,7,108,0.42901714595166274
Site 1132,29.835029403150834,-77.05829321137941,Mountain,0.5601914823873099,False,3308,17,Rocky,128,25.768452371107983,High,9,8,540,0.11515691367634116
Site 1133,13.241848636305917,-92.22367477677933,Forest,0.5717887317242976,False,269,18,Clay,93,1.5951237079410951,Moderate,5,8,723,0.32964315564524116
Site 1134,18.80732807799245,-124.57614614111621,Wetland,0.8305135291171836,True,860,43,Loam,125,-4.453374347892276,Low,1,1,823,0.2691604977909073
Site 1135,37.33035054638384,-128.73796937287614,Wetland,0.8307204192253874,False,290,32,Clay,15,29.846459753148103,Low,9,7,720,0.22200097786407502
Site 1136,13.045234379612008,-122.83674743261558,Forest,0.9239620811392055,True,1457,37,Loam,17,3.895959851162271,High,8,5,788,0.12892599386213874
Site 1137,44.04827656195075,-101.26509004118344,Mountain,0.8759131942131266,True,2056,2,Rocky,76,-4.538468906491895,Low,5,2,209,0.30418789907571386
Site 1138,29.805861080558973,-64.67649580656872,Grassland,0.7248448366846698,False,1774,48,Loam,43,2.46168713752985,Low,3,8,859,0.19316684626336422
Site 1139,29.22346309306592,-85.38182631535449,Mountain,0.8064276807826594,True,629,34,Loam,49,10.553505071316497,Moderate,9,2,874,0.14062634039261337
Site 1140,33.6963113863807,-73.87218700871395,Mountain,0.844142335184004,True,2911,0,Rocky,91,-6.4817165398805265,Low,7,6,378,0.2235900331885543
Site 1141,42.987238637005966,-97.3537783846816,Grassland,0.7563682351426126,True,3898,34,Sandy,13,4.104833374555735,Moderate,8,5,607,0.28216302717402797
Site 1142,23.912368316087722,-104.683374176347,Grassland,0.7378254922258183,False,1847,35,Clay,51,16.754256911042408,Moderate,3,6,417,0.4743660926014295
Site 1143,37.12064610236254,-122.4119739098364,Grassland,0.8225487228213266,True,474,37,Rocky,92,26.637280196142434,Low,6,8,393,0.6253261176166567
Site 1144,32.62927855983165,-68.68468844696565,Wetland,0.7787372744878269,False,3593,38,Clay,120,5.8975073824057045,Low,4,9,361,0.3900392761899846
Site 1145,20.681130806776853,-75.17879796804681,Grassland,0.8219711526679552,False,536,24,Clay,49,12.582569829796558,High,3,3,995,0.22713347393096003
Site 1146,45.14519945420632,-118.23173316815924,Grassland,0.8064273869816819,True,684,39,Loam,122,15.442487998677763,High,4,3,684,0.9462914462605716
Site 1147,41.89704086427712,-94.14176052866176,Mountain,0.8595982802568274,False,1760,12,Rocky,16,-7.169860826486842,Low,2,7,263,0.5633683409988653
Site 1148,36.338073386337015,-95.88376344551286,Mountain,0.821401754391438,True,3082,3,Sandy,123,3.689001695599355,Moderate,5,3,207,0.7676922994261668
Site 1149,44.023269163769676,-86.24359131194299,Forest,0.7598712432186336,True,612,5,Clay,119,17.370160606500527,Moderate,8,5,213,0.7249916271419835
Site 1150,44.6917680383921,-63.76691742061172,Mountain,0.8408984056421933,False,2824,10,Clay,130,19.42644345960961,High,5,4,331,0.3564070814149324
Site 1151,38.334519068601395,-89.41599907662643,Grassland,0.724740982592714,False,3974,0,Sandy,94,4.2380844069531065,Moderate,2,9,99,0.6038757328434656
Site 1152,43.48053313454688,-92.18479132549669,Wetland,0.6208356129863005,False,3398,7,Clay,148,-9.730549986007851,High,7,8,179,0.6419477042668387
Site 1153,37.898858466771344,-126.47739469457352,Mountain,0.5007091100669577,True,1953,33,Rocky,32,-9.725375990102872,Moderate,8,9,411,0.4166119216749591
Site 1154,37.205630870412016,-125.59647667873833,Mountain,0.7799820735729216,True,2642,39,Sandy,0,11.524800709068789,Low,4,6,925,0.703689908935624
Site 1155,34.74445512860737,-116.88572460712479,Grassland,0.7953276133043206,True,2323,8,Rocky,114,12.059435861298205,Low,3,2,312,0.8116088962951947
Site 1156,40.10866558230565,-127.72704598157762,Mountain,0.9860244823878572,False,2417,35,Sandy,3,12.228777295109168,Moderate,8,8,204,0.4277894956370307
Site 1157,16.344204211722946,-77.96529731009913,Mountain,0.6807391670471378,True,3561,48,Clay,149,18.87012263321539,High,2,1,385,0.11342383438815279
Site 1158,45.23483036795714,-79.36687872042258,Grassland,0.6970666214141559,True,2392,38,Sandy,56,26.85077582776546,Low,7,5,354,0.4144023438677953
Site 1159,44.87374110980928,-120.476063589785,Mountain,0.6008997906710951,True,3844,41,Rocky,55,29.606808309373967,High,8,2,95,0.2051340431199477
Site 1160,11.169891321382366,-71.47447694433033,Wetland,0.535267147618661,True,2415,36,Sandy,62,18.042670184995156,Low,5,7,297,0.24004710026505108
Site 1161,43.03267002259051,-119.16497756077216,Forest,0.8864022464308703,False,3804,41,Clay,102,10.559948704958586,Moderate,7,5,782,0.4293545292506574
Site 1162,15.154794698937808,-108.91770891018488,Mountain,0.6248405321696625,True,1334,43,Loam,116,-4.360208067187408,Low,9,3,262,0.28685898838910207
Site 1163,23.404754170365678,-112.57161705870445,Wetland,0.8044524305150189,False,730,20,Clay,6,5.367007175993383,Moderate,8,7,459,0.9414000580482204
Site 1164,39.74033025166431,-103.93850309988666,Mountain,0.8438865177727408,True,1624,19,Clay,141,12.898266627195234,High,5,3,882,0.6875226301037495
Site 1165,16.430395841932327,-112.17353638770267,Forest,0.7356183436458239,True,1508,37,Loam,124,29.992339246950593,Low,4,6,558,0.5665277434997943
Site 1166,42.718680964762484,-95.77343514930836,Grassland,0.9381760565135958,True,14,0,Sandy,89,-4.9207350672748,High,3,4,51,0.1087519084087541
Site 1167,43.28536711830968,-101.48144830517202,Forest,0.7218974204898644,False,757,34,Clay,145,21.723058846142248,High,6,2,767,0.1932559689212029
Site 1168,30.298709350433448,-60.94013564544714,Mountain,0.6424543115208825,False,2735,27,Loam,54,29.957607931563224,Moderate,4,9,791,0.8096300620428541
Site 1169,10.255434868673344,-126.08515549102421,Forest,0.9480077614808111,False,3,6,Rocky,114,22.211651318842634,High,4,6,896,0.4507693867355581
Site 1170,21.48152532699651,-120.04730365288539,Forest,0.9307821421249782,True,1869,42,Loam,122,20.685766382252034,Low,7,5,753,0.14094387650671625
Site 1171,34.67707673502969,-126.30218742639782,Grassland,0.5820199735382066,True,3447,43,Clay,115,0.34724548256194865,Moderate,5,5,369,0.8430031844133199
Site 1172,49.24744712109694,-86.19111635123369,Mountain,0.5129805091769605,False,1392,8,Rocky,114,-9.865499713564297,Moderate,1,8,917,0.37238141187764473
Site 1173,35.272541080666734,-126.18435058103962,Forest,0.5449927781748103,True,1488,0,Clay,113,-0.9605164760048979,Moderate,5,5,302,0.4476660597768003
Site 1174,20.39214324256639,-71.44921838367137,Forest,0.6432736992769086,True,2580,35,Loam,95,21.592004602955814,High,6,8,521,0.9769321635769257
Site 1175,35.360228123984456,-94.16429585226506,Grassland,0.9861299008708553,False,3791,33,Rocky,79,-5.7087520573701145,Low,1,8,877,0.11396146693103408
Site 1176,31.599415188634218,-93.10946627929263,Wetland,0.7792580765804125,True,985,33,Clay,2,1.8447349929719223,Low,3,1,138,0.7491919538309588
Site 1177,41.19381580604575,-90.68838446014641,Mountain,0.6866308660146344,True,1160,16,Loam,148,12.500210839193958,Low,6,4,954,0.9539957586806118
Site 1178,14.279225553078337,-118.04304055856525,Wetland,0.9443580473063732,True,833,31,Rocky,129,13.192412017640915,Moderate,7,9,64,0.15747362411769344
Site 1179,40.44111610008112,-116.16167878198587,Wetland,0.7265681657392498,False,2410,1,Clay,110,11.719547617811902,Moderate,7,2,214,0.8794693219286324
Site 1180,31.650663147044412,-107.68278739888967,Grassland,0.6576193142005106,True,1998,35,Loam,19,29.23533981498165,Low,7,4,823,0.4746175241824344
Site 1181,48.51968015435978,-88.4552508924704,Grassland,0.9706097643728286,False,1954,24,Clay,114,-9.508576173964114,High,9,4,476,0.890196864238183
Site 1182,23.674886641547445,-115.29175568418498,Mountain,0.924758833096339,True,1239,42,Clay,145,9.503940403170969,Moderate,2,1,606,0.3774471336013805
Site 1183,35.304875725357924,-121.85677910067172,Wetland,0.9218341877097205,False,1391,25,Clay,74,10.176824813113608,Low,3,7,893,0.9843964484499351
Site 1184,47.2811242204007,-62.09181795070975,Forest,0.7561423715251065,False,2164,44,Sandy,35,1.7328853248380085,High,7,1,524,0.6823444687042588
Site 1185,14.10038911962717,-128.4612729633264,Wetland,0.8947191994077275,False,1202,25,Clay,101,11.00285102635091,Moderate,6,5,973,0.6643813243936213
Site 1186,47.48913948945805,-73.81118162647849,Grassland,0.5896766796322759,False,3317,20,Rocky,75,16.931193632023025,Moderate,1,8,741,0.8253130445931777
Site 1187,37.51542889203253,-74.83753952974845,Forest,0.7866114787781218,True,2175,17,Loam,60,16.910236306023187,Moderate,7,4,667,0.49292746267782994
Site 1188,12.713482364206875,-109.19501203084329,Forest,0.9919229614237728,False,1381,28,Loam,59,-6.485720970332376,Low,2,5,468,0.33280266889753624
Site 1189,22.03854267787265,-120.50613687948805,Grassland,0.6454792152589808,True,77,23,Sandy,116,22.098399226582664,Moderate,4,3,883,0.33663717344717836
Site 1190,38.32688354581126,-119.80599473062036,Forest,0.8971761646238376,True,2788,46,Sandy,35,27.228393203428567,Moderate,7,5,459,0.39754337574400944
Site 1191,12.694024058750868,-81.17978679339652,Wetland,0.7452392036040336,False,3364,27,Sandy,67,-5.055525681496129,High,4,3,709,0.6556173711167936
Site 1192,33.28681840705093,-85.00353862396784,Grassland,0.5199028416110436,True,2821,11,Clay,43,6.6656114282128165,Low,6,4,751,0.8545507575506441
Site 1193,23.83532227811827,-75.20780280240294,Mountain,0.8815096989078337,True,81,10,Clay,76,10.470009111482106,High,9,3,518,0.5496200905850117
Site 1194,34.83662071069908,-64.37631793206268,Grassland,0.5842845721960563,True,341,26,Rocky,89,-4.607132426243479,Moderate,5,5,690,0.4631034073157161
Site 1195,11.829681352500515,-81.56508457133856,Mountain,0.8157367835663751,True,1361,22,Loam,28,10.135362008762176,Low,3,2,909,0.8144629648219492
Site 1196,44.86147224609505,-119.09039244139896,Mountain,0.5428320970234864,False,2866,32,Loam,135,-1.7256465350247385,Low,6,9,486,0.36070111612096467
Site 1197,48.939558767095875,-112.95901682642125,Grassland,0.9734336987479824,True,2625,15,Clay,132,27.414438297151435,Moderate,4,3,254,0.7201317421349493
Site 1198,48.75511421142766,-71.04643883888198,Grassland,0.6458619435901805,True,95,27,Loam,95,7.938813673036389,Low,9,1,79,0.19522469865384562
Site 1199,39.98607326971699,-115.34857469160539,Mountain,0.6132323458386975,True,3216,27,Clay,125,29.796050053868576,Low,2,5,571,0.2019144396237319
Site 1200,15.203449605225279,-124.9234378131863,Mountain,0.5645682020331672,True,2624,44,Sandy,137,-8.139554069301349,High,5,4,670,0.6796499290882178
Site 1201,40.3305278371609,-80.77039621704247,Forest,0.973001096669524,True,520,37,Clay,9,-4.896770225513407,Low,9,2,711,0.17447546284804127
Site 1202,10.98347665835206,-101.82315511569006,Grassland,0.8559518712206526,False,3468,5,Rocky,133,7.72843202159525,Low,7,8,334,0.2395460475553545
Site 1203,10.88494206115989,-65.59719632178675,Grassland,0.8708304443590443,True,995,41,Clay,15,24.974371397277302,High,5,9,886,0.6619321514443259
Site 1204,22.94440876598165,-84.48214502344369,Forest,0.7497022806901223,False,356,28,Clay,25,12.20903161444706,Moderate,8,6,441,0.4943833273911933
Site 1205,29.545727616186632,-123.67067155458375,Grassland,0.7373638926352417,True,185,33,Loam,20,19.293728825960255,High,2,8,486,0.6051668075913447
Site 1206,40.816296712311726,-63.650040292243744,Forest,0.5550106214957383,False,1693,2,Clay,99,6.942526289981899,Moderate,4,2,188,0.9792486213300061
Site 1207,37.33181506426021,-111.90099154518279,Forest,0.7799205477919959,True,2590,5,Rocky,105,-8.379518566080218,Moderate,6,6,715,0.6687649341387635
Site 1208,27.836108255069934,-106.39512567156,Grassland,0.6234582475543953,True,2198,47,Clay,29,15.912502337351931,Moderate,7,1,708,0.631765723826148
Site 1209,20.945066651266636,-101.84177104215206,Wetland,0.9885726664002029,False,1342,37,Clay,132,15.360058285268927,High,8,3,964,0.4421242732540879
Site 1210,49.884980006308446,-126.41429925169807,Mountain,0.8982904700075737,False,3825,12,Sandy,137,-7.142878713749949,Moderate,4,7,463,0.6677898354994719
Site 1211,27.047252089438917,-95.24392044385766,Grassland,0.7064960300964438,False,1691,35,Clay,94,-3.164741230468562,High,9,1,597,0.11169957312886658
Site 1212,28.05548097318702,-121.36770562472954,Wetland,0.5756706293457665,True,1082,14,Clay,138,9.046231955512766,High,7,6,987,0.6015882244083626
Site 1213,16.544952847666767,-101.93207713181538,Forest,0.892665845569392,False,2057,5,Clay,134,7.865503509759051,Moderate,2,7,745,0.16200762445952835
Site 1214,41.79238194999718,-105.4503148405541,Wetland,0.561026883540658,False,2904,32,Rocky,139,20.09670001517035,Moderate,9,3,826,0.2981550222445485
Site 1215,37.74728903125954,-75.90119416014477,Grassland,0.5946668767485352,False,3195,40,Loam,63,5.496525476867337,High,7,8,696,0.606808901967899
Site 1216,18.830784511550416,-73.77806418570881,Grassland,0.6057602588721137,True,355,11,Sandy,122,16.532009553026587,High,5,8,579,0.701155493658388
Site 1217,13.295241824633708,-119.26109823276384,Wetland,0.7784453191365472,True,3417,42,Sandy,112,18.176941601910293,Moderate,3,5,186,0.44631688636064215
Site 1218,37.21997208298852,-104.34141688345417,Grassland,0.8935283269951831,True,2841,12,Clay,40,15.80015438103451,Moderate,9,2,439,0.47708192439045416
Site 1219,36.18044857124541,-103.86527872777178,Mountain,0.657157439362346,False,2284,32,Clay,27,13.845022876178149,Moderate,7,2,247,0.5482201652324957
Site 1220,20.930381079928374,-119.40126892447404,Wetland,0.5423349071376447,True,2380,27,Loam,122,22.227339226074008,High,3,5,606,0.7831671469701084
Site 1221,48.03454249001641,-74.10825464641667,Forest,0.7322692317622096,True,16,35,Clay,79,16.284278939348408,High,5,4,455,0.11586499443115054
Site 1222,16.04231567123601,-80.49401701652037,Wetland,0.8740551205799678,True,3495,4,Rocky,2,23.36737385649296,High,3,4,640,0.502361198879526
Site 1223,27.293392041704077,-116.67327495920757,Wetland,0.6108319215436941,True,323,24,Loam,100,15.46742107133634,Moderate,3,5,506,0.11284623811614383
Site 1224,47.74463680670395,-104.32946639843406,Wetland,0.6099622740196871,False,2070,16,Clay,31,-3.641079325028427,Low,7,1,503,0.3872276745695048
Site 1225,26.78909267704489,-122.593648260044,Wetland,0.9736135136733555,True,930,36,Loam,20,2.377816255613471,Low,9,7,136,0.5678637591819019
Site 1226,35.54103790656342,-86.02553820348692,Forest,0.977076863559589,False,458,18,Sandy,120,3.21421329937483,Low,5,3,258,0.17192735530073333
Site 1227,25.90377591851177,-121.50396528159662,Forest,0.9952328660307882,False,1483,34,Clay,54,-6.243381170523934,Low,4,8,273,0.536692175178735
Site 1228,20.968608093946802,-60.98460819625575,Forest,0.9038298007873901,False,2568,42,Loam,17,17.692266299774808,Low,4,9,302,0.9321165132629583
Site 1229,49.359105918393126,-75.35225477184963,Wetland,0.5940920845839728,False,2766,33,Loam,52,13.804445853095192,High,3,8,209,0.716808103933669
Site 1230,26.37336025260172,-102.68330152912034,Mountain,0.6059907603996306,False,556,45,Clay,111,13.590196871210818,Moderate,8,2,278,0.8040274046891268
Site 1231,45.76396814716538,-89.50052474044519,Mountain,0.670112620761196,False,1444,5,Loam,120,9.140692050699787,Moderate,1,7,244,0.6223727963949376
Site 1232,19.198184235643446,-66.2060728648514,Forest,0.6590662656667454,True,402,18,Clay,109,11.724985073326607,Moderate,3,4,426,0.9067230820425041
Site 1233,18.52418816100333,-91.21305037229217,Mountain,0.9782638745390045,False,3402,0,Clay,74,-9.676508337894148,Moderate,2,5,193,0.23218236282282423
Site 1234,11.245363315380455,-117.78510595214314,Mountain,0.8945369914408468,True,456,6,Rocky,60,-6.1500772222625555,Moderate,7,5,179,0.5048074298841819
Site 1235,36.066673015035406,-103.49076510931884,Mountain,0.862004396080777,False,1506,33,Rocky,7,17.334118818612207,Low,6,9,500,0.6373299109442351
Site 1236,24.741053748950446,-70.97985944791782,Mountain,0.5929816120290659,True,1521,18,Loam,11,0.4586722560286649,Moderate,1,2,90,0.8861278074186762
Site 1237,44.57432999358548,-84.90508888072675,Mountain,0.9547627796811649,False,3098,32,Loam,40,-5.683538505015275,Moderate,3,2,740,0.3772092209159037
Site 1238,28.928396267662286,-84.44929309663398,Grassland,0.913935189753087,True,2444,25,Loam,149,3.1462104075216057,Low,4,3,63,0.10101517998918762
Site 1239,48.72773711658887,-69.32249600180576,Forest,0.5818209206639618,True,3259,40,Sandy,126,0.17930199840085947,Moderate,7,5,482,0.9769726999388173
Site 1240,17.421020628124847,-67.42188597762467,Wetland,0.9355851659804862,False,2187,48,Clay,136,-8.825101455007779,Low,3,4,793,0.12337957371957833
Site 1241,44.744926718224434,-65.61451997543946,Mountain,0.6361237681852356,False,2568,41,Clay,77,6.4223121322864785,Low,4,9,482,0.2371300545157608
Site 1242,41.06387411166967,-123.36055647227907,Grassland,0.5404348729160531,False,2793,26,Sandy,138,-8.918832153244285,High,7,3,588,0.4798416965034564
Site 1243,40.83687378576208,-91.91117986258294,Wetland,0.828411153257105,False,91,37,Sandy,140,-9.984365766120678,Moderate,4,1,898,0.5467328316980743
Site 1244,43.79132912467551,-78.1643335147177,Grassland,0.8269023296921654,True,2124,25,Loam,88,21.69895002615104,Moderate,9,5,472,0.8510193616862665
